time_us,envelope_normalized,real,imag,doppler_hz,model
0.0,0.7701513446731427,-0.20007468318703836,0.07446621214662252,208.33333333333334,rayleigh
1.1291585127201567,0.7027109482496018,-0.19403687052062496,-0.017101134508809443,208.33333333333334,rayleigh
2.2583170254403133,0.7987681670733875,-0.20302322379388713,0.08835436998705812,208.33333333333334,rayleigh
3.38747553816047,0.949324709068613,-0.23067092963026364,0.12664346100812549,208.33333333333334,rayleigh
4.516634050880627,1.126595246563777,-0.26744028119119445,0.16124404202032244,208.33333333333334,rayleigh
5.645792563600784,1.3579291265770808,-0.28546261101839077,0.2453527635463171,208.33333333333334,rayleigh
6.77495107632094,1.3649837528235234,-0.3110128579729837,0.21548520198334287,208.33333333333334,rayleigh
7.904109589041097,1.4853113545821155,-0.3890879066109007,0.13463468665118067,208.33333333333334,rayleigh
9.033268101761253,1.190899187843643,-0.3190856842389213,0.08461065519509763,208.33333333333334,rayleigh
10.162426614481411,1.0240214905284755,-0.280295093386323,0.04481528961504725,208.33333333333334,rayleigh
11.291585127201568,0.8867173216239493,-0.2403572404071711,0.05141537952682253,208.33333333333334,rayleigh
12.420743639921723,0.7321041251550406,-0.18879866660444997,0.07442017990610673,208.33333333333334,rayleigh
13.54990215264188,0.7566475966506023,-0.14308909339397144,0.1533505824012867,208.33333333333334,rayleigh
14.679060665362037,0.4404873778329212,-0.09778993869872128,0.07311577738779383,208.33333333333334,rayleigh
15.808219178082194,0.21951774468528212,-0.007690606094430553,0.060361593156188074,208.33333333333334,rayleigh
16.93737769080235,0.3367902783763834,-0.012577968418491877,0.09250588758819045,208.33333333333334,rayleigh
18.066536203522507,0.20773681440477254,0.054207012829457016,-0.019429538265043494,208.33333333333334,rayleigh
19.195694716242663,0.14655044953496996,0.03260986793695894,-0.024224915192700487,208.33333333333334,rayleigh
20.324853228962823,0.3869566954573055,0.10040674578161111,-0.0377338589546181,208.33333333333334,rayleigh
21.45401174168298,0.18777710186353344,0.006614901020893688,-0.05162911520972668,208.33333333333334,rayleigh
